Thu Aug 14 04:20:58 PDT 2014 Starting master on sceplus-vm48
core file size          (blocks, -c) 0
2014-08-14 04:21:27,516 INFO  [StoreOpener-1588230740-1] hfile.CacheConfig: blockCache=org.apache.hadoop.hbase.io.hfile.LruBlockCache@9cf29c, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheCompressed=false, prefetchOnOpen=false
2014-08-14 04:21:27,526 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [134217728, 9223372036854775807); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2560; major period 604800000, major jitter 0.500000
2014-08-14 04:21:27,657 INFO  [StoreFileOpenerThread-info-1] regionserver.StoreFile$Reader: Loaded Delete Family Bloom (CompoundBloomFilter) metadata for fe104eeac840427f90f95fec8051dcfa
2014-08-14 04:21:27,681 INFO  [RS_OPEN_META-sceplus-vm48:16020-0] regionserver.HRegion: Onlined 1588230740; next sequenceid=2294
2014-08-14 04:21:27,682 INFO  [PostOpenDeployTasks:1588230740] regionserver.HRegionServer: Post open deploy tasks for hbase:meta,,1.1588230740
2014-08-14 04:21:27,683 INFO  [PostOpenDeployTasks:1588230740] zookeeper.MetaTableLocator: Setting hbase:meta region location in ZooKeeper as sceplus-vm48.almaden.ibm.com,16020,1408015259780
2014-08-14 04:21:27,704 INFO  [PostOpenDeployTasks:1588230740] master.RegionStates: Transition {1588230740 state=PENDING_OPEN, ts=1408015287352, server=sceplus-vm48.almaden.ibm.com,16020,1408015259780} to {1588230740 state=OPEN, ts=1408015287704, server=sceplus-vm48.almaden.ibm.com,16020,1408015259780}
2014-08-14 04:21:27,705 INFO  [PostOpenDeployTasks:1588230740] master.RegionStates: Onlined 1588230740 on sceplus-vm48.almaden.ibm.com,16020,1408015259780
2014-08-14 04:21:27,707 INFO  [ActiveMasterManager] master.HMaster: hbase:meta assigned=1, rit=false, location=sceplus-vm48.almaden.ibm.com,16020,1408015259780
2014-08-14 04:21:27,844 INFO  [ActiveMasterManager] hbase.MetaMigrationConvertingToPB: META already up-to date with PB serialization
2014-08-14 04:21:27,901 INFO  [ActiveMasterManager] master.AssignmentManager: Found regions out on cluster or in RIT; presuming failover
2014-08-14 04:21:27,902 WARN  [ActiveMasterManager] master.ServerManager: Expiration of sceplus-vm48.almaden.ibm.com,16020,1408010699408 but server not online
2014-08-14 04:21:27,906 WARN  [ActiveMasterManager] master.ServerManager: Expiration of slave1,16020,1408010764357 but server not online
2014-08-14 04:21:27,915 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] handler.ServerShutdownHandler: Splitting logs for slave1,16020,1408010764357 before assignment.
2014-08-14 04:21:27,915 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] handler.ServerShutdownHandler: Splitting logs for sceplus-vm48.almaden.ibm.com,16020,1408010699408 before assignment.
2014-08-14 04:21:27,916 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] handler.ServerShutdownHandler: Mark regions in recovery before assignment.
2014-08-14 04:21:27,915 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] handler.ServerShutdownHandler: Mark regions in recovery before assignment.
2014-08-14 04:21:27,929 INFO  [ActiveMasterManager] master.AssignmentManager: Joined the cluster in 84ms, failover=true
2014-08-14 04:21:27,929 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] master.RegionStates: Transition {d4c372565ab1fd0cf9d509f0969b7a48 state=OPEN, ts=1408015287891, server=sceplus-vm48.almaden.ibm.com,16020,1408010699408} to {d4c372565ab1fd0cf9d509f0969b7a48 state=OFFLINE, ts=1408015287929, server=sceplus-vm48.almaden.ibm.com,16020,1408010699408}
2014-08-14 04:21:27,933 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] master.RegionStateStore: Updating row hbase:namespace,,1407939303123.d4c372565ab1fd0cf9d509f0969b7a48. with state=OFFLINE
2014-08-14 04:21:27,967 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] handler.ServerShutdownHandler: Reassigning 1 region(s) that sceplus-vm48.almaden.ibm.com,16020,1408010699408 was carrying (and 0 regions(s) that were opening on this server)
2014-08-14 04:21:27,997 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] master.AssignmentManager: Bulk assigning 1 region(s) across 3 server(s), round-robin=true
2014-08-14 04:21:28,001 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.AssignmentManager: Assigning 1 region(s) to sceplus-vm48.almaden.ibm.com,16020,1408015259780
2014-08-14 04:21:28,007 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStates: Transition {d4c372565ab1fd0cf9d509f0969b7a48 state=OFFLINE, ts=1408015287929, server=sceplus-vm48.almaden.ibm.com,16020,1408010699408} to {d4c372565ab1fd0cf9d509f0969b7a48 state=PENDING_OPEN, ts=1408015288007, server=sceplus-vm48.almaden.ibm.com,16020,1408015259780}
2014-08-14 04:21:28,008 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStateStore: Updating row hbase:namespace,,1407939303123.d4c372565ab1fd0cf9d509f0969b7a48. with state=PENDING_OPEN&sn=sceplus-vm48.almaden.ibm.com,16020,1408015259780
2014-08-14 04:21:28,015 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] regionserver.RSRpcServices: Open hbase:namespace,,1407939303123.d4c372565ab1fd0cf9d509f0969b7a48.
2014-08-14 04:21:28,024 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] master.AssignmentManager: Bulk assigning done
2014-08-14 04:21:28,025 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-2] master.AssignmentManager: Waiting for d4c372565ab1fd0cf9d509f0969b7a48 to leave regions-in-transition, timeOut=15000 ms.
2014-08-14 04:21:28,032 INFO  [StoreOpener-d4c372565ab1fd0cf9d509f0969b7a48-1] hfile.CacheConfig: blockCache=org.apache.hadoop.hbase.io.hfile.LruBlockCache@9cf29c, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheCompressed=false, prefetchOnOpen=false
2014-08-14 04:21:28,033 INFO  [StoreOpener-d4c372565ab1fd0cf9d509f0969b7a48-1] compactions.CompactionConfiguration: size [134217728, 9223372036854775807); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2560; major period 604800000, major jitter 0.500000
2014-08-14 04:21:28,060 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {f61593ac3c99139f9cb71d7a3d75c37e state=OPEN, ts=1408015287893, server=slave1,16020,1408010764357} to {f61593ac3c99139f9cb71d7a3d75c37e state=OFFLINE, ts=1408015288060, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,060 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user2,1408014737204.f61593ac3c99139f9cb71d7a3d75c37e. with state=OFFLINE
2014-08-14 04:21:28,065 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {cecf43ac6820a901d1f7a26660d5a481 state=OPEN, ts=1408015287895, server=slave1,16020,1408010764357} to {cecf43ac6820a901d1f7a26660d5a481 state=OFFLINE, ts=1408015288065, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,065 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user5,1408014737204.cecf43ac6820a901d1f7a26660d5a481. with state=OFFLINE
2014-08-14 04:21:28,068 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {aee2aded65f5896c531b1d83e97bfc4f state=OPEN, ts=1408015287898, server=slave1,16020,1408010764357} to {aee2aded65f5896c531b1d83e97bfc4f state=OFFLINE, ts=1408015288068, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,068 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user8,1408014737204.aee2aded65f5896c531b1d83e97bfc4f. with state=OFFLINE
2014-08-14 04:21:28,069 INFO  [RS_OPEN_REGION-sceplus-vm48:16020-0] regionserver.HRegion: Onlined d4c372565ab1fd0cf9d509f0969b7a48; next sequenceid=40000008
2014-08-14 04:21:28,070 INFO  [PostOpenDeployTasks:d4c372565ab1fd0cf9d509f0969b7a48] regionserver.HRegionServer: Post open deploy tasks for hbase:namespace,,1407939303123.d4c372565ab1fd0cf9d509f0969b7a48.
2014-08-14 04:21:28,070 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {588f9dbdef554bd20d014c0823bfc299 state=OPEN, ts=1408015287894, server=slave1,16020,1408010764357} to {588f9dbdef554bd20d014c0823bfc299 state=OFFLINE, ts=1408015288070, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,070 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user3,1408014737204.588f9dbdef554bd20d014c0823bfc299. with state=OFFLINE
2014-08-14 04:21:28,073 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {9cdff8d0b855526fa08d4f7a5ab43000 state=OPEN, ts=1408015287892, server=slave1,16020,1408010764357} to {9cdff8d0b855526fa08d4f7a5ab43000 state=OFFLINE, ts=1408015288073, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,073 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user1,1408014737204.9cdff8d0b855526fa08d4f7a5ab43000. with state=OFFLINE
2014-08-14 04:21:28,075 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {ad2399cf58f5f899774ae0530e0dea3d state=OPEN, ts=1408015287897, server=slave1,16020,1408010764357} to {ad2399cf58f5f899774ae0530e0dea3d state=OFFLINE, ts=1408015288075, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,075 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user7,1408014737204.ad2399cf58f5f899774ae0530e0dea3d. with state=OFFLINE
2014-08-14 04:21:28,078 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {89012c42f08d3b028d45af9a82cc8187 state=OPEN, ts=1408015287895, server=slave1,16020,1408010764357} to {89012c42f08d3b028d45af9a82cc8187 state=OFFLINE, ts=1408015288078, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,078 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user4,1408014737204.89012c42f08d3b028d45af9a82cc8187. with state=OFFLINE
2014-08-14 04:21:28,080 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {ff736bc6e35322171620cb6c88b9a864 state=OPEN, ts=1408015287892, server=slave1,16020,1408010764357} to {ff736bc6e35322171620cb6c88b9a864 state=OFFLINE, ts=1408015288080, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,080 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,,1408014737204.ff736bc6e35322171620cb6c88b9a864. with state=OFFLINE
2014-08-14 04:21:28,082 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {0557edf3644eb2b9a139666e220c53e9 state=OPEN, ts=1408015287896, server=slave1,16020,1408010764357} to {0557edf3644eb2b9a139666e220c53e9 state=OFFLINE, ts=1408015288082, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,083 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user6,1408014737204.0557edf3644eb2b9a139666e220c53e9. with state=OFFLINE
2014-08-14 04:21:28,085 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStates: Transition {e8a3f9c6c3c2b28c87355995f4c10af9 state=OPEN, ts=1408015287899, server=slave1,16020,1408010764357} to {e8a3f9c6c3c2b28c87355995f4c10af9 state=OFFLINE, ts=1408015288085, server=slave1,16020,1408010764357}
2014-08-14 04:21:28,085 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.RegionStateStore: Updating row usertable,user9,1408014737204.e8a3f9c6c3c2b28c87355995f4c10af9. with state=OFFLINE
2014-08-14 04:21:28,087 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] handler.ServerShutdownHandler: Reassigning 10 region(s) that slave1,16020,1408010764357 was carrying (and 0 regions(s) that were opening on this server)
2014-08-14 04:21:28,100 INFO  [PostOpenDeployTasks:d4c372565ab1fd0cf9d509f0969b7a48] master.RegionStates: Transition {d4c372565ab1fd0cf9d509f0969b7a48 state=PENDING_OPEN, ts=1408015288007, server=sceplus-vm48.almaden.ibm.com,16020,1408015259780} to {d4c372565ab1fd0cf9d509f0969b7a48 state=OPEN, ts=1408015288099, server=sceplus-vm48.almaden.ibm.com,16020,1408015259780}
2014-08-14 04:21:28,100 INFO  [PostOpenDeployTasks:d4c372565ab1fd0cf9d509f0969b7a48] master.RegionStateStore: Updating row hbase:namespace,,1407939303123.d4c372565ab1fd0cf9d509f0969b7a48. with state=OPEN&openSeqNum=40000008&server=sceplus-vm48.almaden.ibm.com,16020,1408015259780
2014-08-14 04:21:28,105 INFO  [PostOpenDeployTasks:d4c372565ab1fd0cf9d509f0969b7a48] master.RegionStates: Onlined d4c372565ab1fd0cf9d509f0969b7a48 on sceplus-vm48.almaden.ibm.com,16020,1408015259780
2014-08-14 04:21:28,112 INFO  [M_LOG_REPLAY_OPS-sceplus-vm48:16020-0] master.MasterFileSystem: Log dir for server sceplus-vm48.almaden.ibm.com,16020,1408010699408 does not exist
2014-08-14 04:21:28,112 INFO  [M_LOG_REPLAY_OPS-sceplus-vm48:16020-0] master.SplitLogManager: dead splitlog workers [sceplus-vm48.almaden.ibm.com,16020,1408010699408]
2014-08-14 04:21:28,113 INFO  [M_LOG_REPLAY_OPS-sceplus-vm48:16020-0] master.SplitLogManager: started splitting 0 logs in []
2014-08-14 04:21:28,123 INFO  [main-EventThread] zookeeper.RecoveringRegionWatcher: /hbase/recovering-regions/d4c372565ab1fd0cf9d509f0969b7a48 znode deleted. Region: d4c372565ab1fd0cf9d509f0969b7a48 completes recovery.
2014-08-14 04:21:28,133 INFO  [M_LOG_REPLAY_OPS-sceplus-vm48:16020-0] master.SplitLogManager: finished splitting (more than or equal to) 0 bytes in 0 log files in [] in 20ms
2014-08-14 04:21:28,134 INFO  [M_LOG_REPLAY_OPS-sceplus-vm48:16020-0] handler.LogReplayHandler: Finished processing shutdown of sceplus-vm48.almaden.ibm.com,16020,1408010699408
2014-08-14 04:21:28,216 INFO  [ActiveMasterManager] master.HMaster: Master has completed initialization
2014-08-14 04:21:28,261 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.AssignmentManager: Bulk assigning 10 region(s) across 3 server(s), round-robin=true
2014-08-14 04:21:28,262 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.AssignmentManager: Assigning 5 region(s) to sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:28,262 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.AssignmentManager: Assigning 5 region(s) to slave1,16020,1408015261034
2014-08-14 04:21:28,263 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStates: Transition {cecf43ac6820a901d1f7a26660d5a481 state=OFFLINE, ts=1408015288065, server=slave1,16020,1408010764357} to {cecf43ac6820a901d1f7a26660d5a481 state=PENDING_OPEN, ts=1408015288262, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034}
2014-08-14 04:21:28,263 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStates: Transition {f61593ac3c99139f9cb71d7a3d75c37e state=OFFLINE, ts=1408015288060, server=slave1,16020,1408010764357} to {f61593ac3c99139f9cb71d7a3d75c37e state=PENDING_OPEN, ts=1408015288263, server=slave1,16020,1408015261034}
2014-08-14 04:21:28,263 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStateStore: Updating row usertable,user5,1408014737204.cecf43ac6820a901d1f7a26660d5a481. with state=PENDING_OPEN&sn=sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:28,263 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStateStore: Updating row usertable,user2,1408014737204.f61593ac3c99139f9cb71d7a3d75c37e. with state=PENDING_OPEN&sn=slave1,16020,1408015261034
2014-08-14 04:21:28,271 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStates: Transition {588f9dbdef554bd20d014c0823bfc299 state=OFFLINE, ts=1408015288070, server=slave1,16020,1408010764357} to {588f9dbdef554bd20d014c0823bfc299 state=PENDING_OPEN, ts=1408015288271, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034}
2014-08-14 04:21:28,271 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStates: Transition {aee2aded65f5896c531b1d83e97bfc4f state=OFFLINE, ts=1408015288068, server=slave1,16020,1408010764357} to {aee2aded65f5896c531b1d83e97bfc4f state=PENDING_OPEN, ts=1408015288271, server=slave1,16020,1408015261034}
2014-08-14 04:21:28,271 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStateStore: Updating row usertable,user3,1408014737204.588f9dbdef554bd20d014c0823bfc299. with state=PENDING_OPEN&sn=sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:28,271 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStateStore: Updating row usertable,user8,1408014737204.aee2aded65f5896c531b1d83e97bfc4f. with state=PENDING_OPEN&sn=slave1,16020,1408015261034
2014-08-14 04:21:28,275 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStates: Transition {ad2399cf58f5f899774ae0530e0dea3d state=OFFLINE, ts=1408015288075, server=slave1,16020,1408010764357} to {ad2399cf58f5f899774ae0530e0dea3d state=PENDING_OPEN, ts=1408015288275, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034}
2014-08-14 04:21:28,275 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStates: Transition {9cdff8d0b855526fa08d4f7a5ab43000 state=OFFLINE, ts=1408015288073, server=slave1,16020,1408010764357} to {9cdff8d0b855526fa08d4f7a5ab43000 state=PENDING_OPEN, ts=1408015288275, server=slave1,16020,1408015261034}
2014-08-14 04:21:28,275 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStateStore: Updating row usertable,user7,1408014737204.ad2399cf58f5f899774ae0530e0dea3d. with state=PENDING_OPEN&sn=sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:28,275 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStateStore: Updating row usertable,user1,1408014737204.9cdff8d0b855526fa08d4f7a5ab43000. with state=PENDING_OPEN&sn=slave1,16020,1408015261034
2014-08-14 04:21:28,280 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStates: Transition {ff736bc6e35322171620cb6c88b9a864 state=OFFLINE, ts=1408015288080, server=slave1,16020,1408010764357} to {ff736bc6e35322171620cb6c88b9a864 state=PENDING_OPEN, ts=1408015288280, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034}
2014-08-14 04:21:28,281 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStates: Transition {89012c42f08d3b028d45af9a82cc8187 state=OFFLINE, ts=1408015288078, server=slave1,16020,1408010764357} to {89012c42f08d3b028d45af9a82cc8187 state=PENDING_OPEN, ts=1408015288280, server=slave1,16020,1408015261034}
2014-08-14 04:21:28,281 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStateStore: Updating row usertable,,1408014737204.ff736bc6e35322171620cb6c88b9a864. with state=PENDING_OPEN&sn=sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:28,281 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStateStore: Updating row usertable,user4,1408014737204.89012c42f08d3b028d45af9a82cc8187. with state=PENDING_OPEN&sn=slave1,16020,1408015261034
2014-08-14 04:21:28,286 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStates: Transition {e8a3f9c6c3c2b28c87355995f4c10af9 state=OFFLINE, ts=1408015288085, server=slave1,16020,1408010764357} to {e8a3f9c6c3c2b28c87355995f4c10af9 state=PENDING_OPEN, ts=1408015288285, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034}
2014-08-14 04:21:28,286 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStates: Transition {0557edf3644eb2b9a139666e220c53e9 state=OFFLINE, ts=1408015288082, server=slave1,16020,1408010764357} to {0557edf3644eb2b9a139666e220c53e9 state=PENDING_OPEN, ts=1408015288286, server=slave1,16020,1408015261034}
2014-08-14 04:21:28,286 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-0] master.RegionStateStore: Updating row usertable,user9,1408014737204.e8a3f9c6c3c2b28c87355995f4c10af9. with state=PENDING_OPEN&sn=sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:28,286 INFO  [sceplus-vm48.almaden.ibm.com,16020,1408015259780-GeneralBulkAssigner-1] master.RegionStateStore: Updating row usertable,user6,1408014737204.0557edf3644eb2b9a139666e220c53e9. with state=PENDING_OPEN&sn=slave1,16020,1408015261034
2014-08-14 04:21:28,653 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.AssignmentManager: Bulk assigning done
2014-08-14 04:21:28,653 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.AssignmentManager: Waiting for f61593ac3c99139f9cb71d7a3d75c37e to leave regions-in-transition, timeOut=15000 ms.
2014-08-14 04:21:29,126 ERROR [defaultRpcServer.handler=9,queue=4,port=16020] master.AssignmentManager: Failed to transtion region from {cecf43ac6820a901d1f7a26660d5a481 state=PENDING_OPEN, ts=1408015288262, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034} to OPENED by slave1,16020,1408015261034: cecf43ac6820a901d1f7a26660d5a481 is not pending open on slave1,16020,1408015261034
2014-08-14 04:21:29,126 INFO  [defaultRpcServer.handler=14,queue=4,port=16020] master.RegionStates: Transition {aee2aded65f5896c531b1d83e97bfc4f state=PENDING_OPEN, ts=1408015288271, server=slave1,16020,1408015261034} to {aee2aded65f5896c531b1d83e97bfc4f state=OPEN, ts=1408015289126, server=slave1,16020,1408015261034}
2014-08-14 04:21:29,126 INFO  [defaultRpcServer.handler=19,queue=4,port=16020] master.RegionStates: Transition {f61593ac3c99139f9cb71d7a3d75c37e state=PENDING_OPEN, ts=1408015288263, server=slave1,16020,1408015261034} to {f61593ac3c99139f9cb71d7a3d75c37e state=OPEN, ts=1408015289126, server=slave1,16020,1408015261034}
2014-08-14 04:21:29,127 INFO  [defaultRpcServer.handler=14,queue=4,port=16020] master.RegionStateStore: Updating row usertable,user8,1408014737204.aee2aded65f5896c531b1d83e97bfc4f. with state=OPEN&openSeqNum=40000856&server=slave1,16020,1408015261034
2014-08-14 04:21:29,127 INFO  [defaultRpcServer.handler=19,queue=4,port=16020] master.RegionStateStore: Updating row usertable,user2,1408014737204.f61593ac3c99139f9cb71d7a3d75c37e. with state=OPEN&openSeqNum=40000856&server=slave1,16020,1408015261034
2014-08-14 04:21:29,135 INFO  [defaultRpcServer.handler=14,queue=4,port=16020] master.RegionStates: Onlined aee2aded65f5896c531b1d83e97bfc4f on slave1,16020,1408015261034
2014-08-14 04:21:29,135 INFO  [defaultRpcServer.handler=19,queue=4,port=16020] master.RegionStates: Onlined f61593ac3c99139f9cb71d7a3d75c37e on slave1,16020,1408015261034
2014-08-14 04:21:29,152 ERROR [defaultRpcServer.handler=2,queue=2,port=16020] master.MasterRpcServices: Region server slave1,16020,1408015261034 reported a fatal error:
ABORTING region server slave1,16020,1408015261034: Exception running postOpenDeployTasks; region=cecf43ac6820a901d1f7a26660d5a481
Cause:
java.io.IOException: Failed to report opened region to master: usertable,user5,1408014737204.cecf43ac6820a901d1f7a26660d5a481.
	at org.apache.hadoop.hbase.regionserver.HRegionServer.postOpenDeployTasks(HRegionServer.java:1730)
	at org.apache.hadoop.hbase.regionserver.handler.OpenRegionHandler$PostOpenDeployTasksThread.run(OpenRegionHandler.java:321)

2014-08-14 04:21:29,236 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-3] master.AssignmentManager: Waiting for cecf43ac6820a901d1f7a26660d5a481 to leave regions-in-transition, timeOut=15000 ms.
2014-08-14 04:21:33,847 INFO  [main-EventThread] zookeeper.RegionServerTracker: RegionServer ephemeral node deleted, processing expiration [sceplus-vm49.almaden.ibm.com,16020,1408015261034]
2014-08-14 04:21:33,856 INFO  [main-EventThread] replication.ReplicationTrackerZKImpl: /hbase/rs/sceplus-vm49.almaden.ibm.com,16020,1408015261034 znode expired, triggering replicatorRemoved event
2014-08-14 04:21:33,856 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-4] handler.ServerShutdownHandler: Splitting logs for sceplus-vm49.almaden.ibm.com,16020,1408015261034 before assignment.
2014-08-14 04:21:33,856 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-4] handler.ServerShutdownHandler: Mark regions in recovery before assignment.
2014-08-14 04:21:33,857 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-4] master.RegionStates: Found region in {cecf43ac6820a901d1f7a26660d5a481 state=PENDING_OPEN, ts=1408015288262, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034} to be reassigned by SSH for sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:33,857 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-4] master.RegionStates: Found region in {e8a3f9c6c3c2b28c87355995f4c10af9 state=PENDING_OPEN, ts=1408015288285, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034} to be reassigned by SSH for sceplus-vm49.almaden.ibm.com,16020,1408015261034
2014-08-14 04:21:33,857 INFO  [MASTER_SERVER_OPERATIONS-sceplus-vm48:16020-4] master.RegionStates: Found region in {588f9dbdef554bd20d014c0823bfc299 state=PENDING_OPEN, ts=1408015288271, server=sceplus-vm49.almaden.ibm.com,16020,1408015261034} to be reassigned by SSH for sceplus-vm49.almaden.ibm.com,16020,1408015261034
